Curah Hujan,Suhu,Debit
72.45573,27.6,164.4812
23.48237,27.4,69.907
8.650708,27.3,91.315
9.708697,25.7,62.47055
35.02784,27.5,103.8898
25.03438,27,99.291
8.947105,28.4,70.968
11.01912,28,92.705
14.96059,26.8,66.401
17.22419,28,65.52132
12.92346,27.5,82.824
6.539405,27.5,89.866
24.53539,27.4,93.628
6.21055,28.6,65.595
3.970169,27.3,38.462
1.986188,26.9,27.773
2.563358,27.7,24.466
7.243822,27.4,46.442
5.881969,26.8,37.814
3.715562,27.3,29.081
11.1683,27,36.968
11.7057,27.3,128.258
42.91322,28.1,119.0204
27.28208,28.5,100.205
31.93961,27.2,107.8857
7.84185,27.4,75.56678
3.26101,27.9,68.556
7.954131,28.5,52.356
7.322421,27.6,52.344
13.34605,28.4,56.9184
19.79829,28.2,92.273
35.2064,28.1,103.741
9.672168,27.6,83.445
16.07396,28,73.71309
16.42982,27.3,104.113
9.95382,28.9,120.403
13.61432,29.1,64.07735
15.99866,28.9,85.133
13.07638,29.3,82.447
9.757822,28.3,69.683
10.43872,28.3,59.91
3.332232,28.3,66.938
20.41805,28.7,66.704
3.05015,28.1,44.88
3.539264,28.7,36.104
3.171335,27.6,33.019
3.571368,28.3,37.684
9.747149,27.6,32.609
2.88683,27.6,29.693
0.058689,28.1,60.598
16.90772,28,42.676
8.655035,25.9,116.438
18.94993,27,74.845
22.7505,27.8,107.463
6.937815,27.6,76.67
5.834098,27.4,51.869
1.931675,28.7,73.025
6.037364,28.3,76.496
9.29451,28,56.76
0,27.8,39.812
3.004523,27.6,32.507
0.528204,28.1,53.609
2.949958,27.6,62.642
4.677413,28.4,41.592
0.110494,27.4,45.121
5.363009,27.9,39.617
0,27.5,28.771
0,27.6,25.483
0.069612,27.9,21.912
9.922021,27.3,24.922
0.628119,28,24.607
7.714183,27.3,127.911
17.70676,28,82.477
8.287752,27.2,96.149
8.93614,27.6,53.52565
4.862618,27.3,110.105
16.74979,28.1,73.32
9.415177,27.5,70.609
3.31227,27.1,48.057
1.53942,28.3,42.213
2.125859,27.6,42.529
5.342764,28.3,60.896
8.575,28,37.416
1.432041,27.6,36.447
1.285986,27.9,25.714
8.681258,27.7,23.077
11.98703,23.3,41.245
4.497701,28,46.987
4.154257,28.4,41.552
7.025043,28.8,30.932
10.49752,28.7,41.456
12.49663,27.9,93.237
21.42438,27.4,52.21
3.603105,28.8,35.693
6.613776,29.1,29.66
3.033772,29.5,35.792
3.589471,29,25.996
21.28443,28.5,100.266
14.8712,27.9,81.278
0,28.4,45.951
1.803449,28.1,42.176
11.77209,26.8,69.63232
39.34473,26.7,111.992
2.898591,28.6,58.125
0,29.8,42.827
0.431832,28.1,35.078
0,27.9,28.608
2.148062,28.6,56.854
20.02559,27.2,49.435
20.10718,28.1,42.721
7.916397,28.3,92.257
4.446524,28.1,118.402
15.68548,28.3,75.922
6.203629,28.2,43.945
0,27.6,80.345
2.833912,27.1,87.677
17.5532,27.7,74.41958
27.55252,26.9,71.561
1.150552,27.9,43.101
0,28.3,31.933
0,22.8,30.734
1.750273,22.9,33.385
0,23.9,27.267
0,23.5,25.299
0,24.4,21.404
3.795488,26.7,20.09
4.646305,25,41.818
13.48758,23.1,32.767
11.24341,23.5,26.806
0,27.3,20.815
2.661802,24.3,25.968
4.460259,21.9,31.314
0.858838,24.1,58.807
4.243555,23.6,37.451
3.231284,25.1,36.038
1.570394,27.2,23.034
0.941361,26.3,20.776
2.209879,27.5,31.881
2.131249,27.8,22.197
0.052298,26.7,17.83581
1.360341,26.8,30.248
0,26.6,24.629
0.795579,26.1,20.649
0,27.3,18.47281
0.606907,27.7,17.818
5.323564,27,27.034
0.636718,26.7,21.483
1.511599,27.2,27.055
0.427999,25.1,24.778
1.097837,25.3,22.773
0,25,18.709
0.929988,27.3,15.498
1.056465,27,20.936
0,27.6,31.9
4.652582,26.5,17.75
0.892869,26.8,16.32141
0,26.7,16.479
0,27.2,16.295
0.893835,27.8,13.51
0.220988,26.7,13.91
0,26.7,13.425
1.682565,27.7,11.961
0,27,11.699
0,27,13.334
0,27.2,12.129
0,26.1,10.459
0,27,9.984
0,27.3,11.417
5.821658,27,13.611
0.117379,27,12.77541
6.863758,26,13.055
0,25.6,12.527
0,27.5,12.18041
2.784438,26.4,13.186
0,26.5,26.079
32.53537,26.6,20.167
4.693779,26.1,19.66
0.234757,25.7,15.762
0,26.3,13.47141
0,25.4,13.214
0,25.5,13.45
0,25.7,12.648
0.110494,23.4,14.241
0,26.6,13.533
0.088034,27,13.186
0,26.9,12.188
0.224342,27,11.84
2.322063,26.2,12.928
0.117379,26.5,13.619
0,27.1,12.28
0,27.5,12.085
0,28.1,10.873
0,27.6,10.213
5.065722,26,14.537
0,26.9,14.841
0,28.3,13.845
0,27.1,13.55
0,27.7,12.789
0,27.7,11.695
0,26.8,11.292
0,28.2,10.658
0,27.4,12.689
0,27.6,10.526
1.233881,27.8,11.503
4.552485,27.8,12.497
0,27.8,12.614
0,28.5,11.868
0.972925,28.9,10.906
0,29.1,10.594
0,28.8,10.346
0,28.1,9.976
0,28.1,9.69
0,24.9,7.904
0,24.5,8.853
0,25.5,8.186
0,25.4,7.904
0,26.2,8.42
0,27.8,6.872
0,25.8,7.251
0.99907,24.9,8.526
0.117379,25.7,6.983
0,29.5,7.134
0,26.2,7.365
0,23.5,7.182
0,26,7.262
