Tanggal,Curah Hujan,Suhu,Debit
03/01/2014,72.45573,27.6,164.4812
04/01/2014,23.48237,27.4,69.907
05/01/2014,8.650708,27.3,91.315
06/01/2014,9.708697,25.7,62.47055
07/01/2014,35.02784,27.5,103.8898
08/01/2014,25.03438,27,99.291
09/01/2014,8.947105,28.4,70.968
10/01/2014,11.01912,28,92.705
11/01/2014,14.96059,26.8,66.401
12/01/2014,17.22419,28,65.52132
13/01/2014,12.92346,27.5,82.824
14/01/2014,6.539405,27.5,89.866
15/01/2014,24.53539,27.4,93.628
16/01/2014,6.21055,28.6,65.595
17/01/2014,3.970169,27.3,38.462
18/01/2014,1.986188,26.9,27.773
19/01/2014,2.563358,27.7,24.466
20/01/2014,7.243822,27.4,46.442
21/01/2014,5.881969,26.8,37.814
22/01/2014,3.715562,27.3,29.081
23/01/2014,11.1683,27,36.968
24/01/2014,11.7057,27.3,128.258
25/01/2014,42.91322,28.1,119.0204
26/01/2014,27.28208,28.5,100.205
27/01/2014,31.93961,27.2,107.8857
28/01/2014,7.84185,27.4,75.56678
29/01/2014,3.26101,27.9,68.556
30/01/2014,7.954131,28.5,52.356
31/01/2014,7.322421,27.6,52.344
01/02/2014,13.34605,28.4,56.9184
02/02/2014,19.79829,28.2,92.273
03/02/2014,35.2064,28.1,103.741
04/02/2014,9.672168,27.6,83.445
05/02/2014,16.07396,28,73.71309
06/02/2014,16.42982,27.3,104.113
07/02/2014,9.95382,28.9,120.403
08/02/2014,13.61432,29.1,64.07735
09/02/2014,15.99866,28.9,85.133
10/02/2014,13.07638,29.3,82.447
11/02/2014,9.757822,28.3,69.683
12/02/2014,10.43872,28.3,59.91
13/02/2014,3.332232,28.3,66.938
14/02/2014,20.41805,28.7,66.704
15/02/2014,3.05015,28.1,44.88
16/02/2014,3.539264,28.7,36.104
17/02/2014,3.171335,27.6,33.019
18/02/2014,3.571368,28.3,37.684
19/02/2014,9.747149,27.6,32.609
20/02/2014,2.88683,27.6,29.693
21/02/2014,0.058689,28.1,60.598
22/02/2014,16.90772,28,42.676
23/02/2014,8.655035,25.9,116.438
24/02/2014,18.94993,27,74.845
25/02/2014,22.7505,27.8,107.463
26/02/2014,6.937815,27.6,76.67
27/02/2014,5.834098,27.4,51.869
28/02/2014,1.931675,28.7,73.025
01/03/2014,6.037364,28.3,76.496
02/03/2014,9.29451,28,56.76
03/03/2014,0,27.8,39.812
04/03/2014,3.004523,27.6,32.507
05/03/2014,0.528204,28.1,53.609
06/03/2014,2.949958,27.6,62.642
07/03/2014,4.677413,28.4,41.592
08/03/2014,0.110494,27.4,45.121
09/03/2014,5.363009,27.9,39.617
10/03/2014,0,27.5,28.771
11/03/2014,0,27.6,25.483
12/03/2014,0.069612,27.9,21.912
13/03/2014,9.922021,27.3,24.922
14/03/2014,0.628119,28,24.607
15/03/2014,7.714183,27.3,127.911
16/03/2014,17.70676,28,82.477
17/03/2014,8.287752,27.2,96.149
18/03/2014,8.93614,27.6,53.52565
19/03/2014,4.862618,27.3,110.105
20/03/2014,16.74979,28.1,73.32
21/03/2014,9.415177,27.5,70.609
22/03/2014,3.31227,27.1,48.057
23/03/2014,1.53942,28.3,42.213
24/03/2014,2.125859,27.6,42.529
25/03/2014,5.342764,28.3,60.896
26/03/2014,8.575,28,37.416
27/03/2014,1.432041,27.6,36.447
28/03/2014,1.285986,27.9,25.714
29/03/2014,8.681258,27.7,23.077
30/03/2014,11.98703,23.3,41.245
